2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:28 INFO     [100, 1, 0.8864011764526367]
2025-02-26 22:15:28 INFO     [100, 1, 0.3132340610027313]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [101, 1, 0.2701280117034912]
2025-02-26 22:15:28 INFO     [101, 1, 0.618229866027832]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [102, 1, 0.3012794852256775]
2025-02-26 22:15:28 INFO     [102, 1, 0.45699650049209595]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     [103, 1, 0.6093981266021729]
2025-02-26 22:15:28 INFO     [103, 1, 0.2673106789588928]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006983372960937498
2025-02-26 22:15:28 INFO     Best model saved at epoch 103 with loss 0.0413
2025-02-26 22:15:28 INFO     [104, 1, 0.5951520204544067]
2025-02-26 22:15:28 INFO     [104, 1, 0.31278955936431885]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:28 INFO     [105, 1, 1.42038893699646]
2025-02-26 22:15:28 INFO     [105, 1, 0.291046142578125]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:28 INFO     [106, 1, 0.39624685049057007]
2025-02-26 22:15:28 INFO     [106, 1, 0.2768845558166504]
2025-02-26 22:15:28 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:28 INFO     [107, 1, 2.879913568496704]
2025-02-26 22:15:28 INFO     [107, 1, 0.31742292642593384]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [108, 1, 0.23617514967918396]
2025-02-26 22:15:29 INFO     [108, 1, 0.537206768989563]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [109, 1, 0.31718599796295166]
2025-02-26 22:15:29 INFO     [109, 1, 0.723862886428833]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [110, 1, 1.618453860282898]
2025-02-26 22:15:29 INFO     [110, 1, 0.7072587013244629]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [111, 1, 0.3424656391143799]
2025-02-26 22:15:29 INFO     [111, 1, 0.4411725699901581]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [112, 1, 0.421933650970459]
2025-02-26 22:15:29 INFO     [112, 1, 0.39324215054512024]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [113, 1, 0.6809514164924622]
2025-02-26 22:15:29 INFO     [113, 1, 0.43613794445991516]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [114, 1, 69.87166595458984]
2025-02-26 22:15:29 INFO     [114, 1, 0.4309060573577881]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006634204312890623
2025-02-26 22:15:29 INFO     [115, 1, 1.4018011093139648]
2025-02-26 22:15:29 INFO     [115, 1, 5.49642276763916]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [116, 1, 2.3923964500427246]
2025-02-26 22:15:29 INFO     [116, 1, 4.215076923370361]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [117, 1, 1.4222569465637207]
2025-02-26 22:15:29 INFO     [117, 1, 2.4562172889709473]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [118, 1, 0.5513504147529602]
2025-02-26 22:15:29 INFO     [118, 1, 1.0549635887145996]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [119, 1, 0.6225811243057251]
2025-02-26 22:15:29 INFO     [119, 1, 1.0603244304656982]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [120, 1, 0.9076458811759949]
2025-02-26 22:15:29 INFO     [120, 1, 0.5098594427108765]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [121, 1, 353.26434326171875]
2025-02-26 22:15:29 INFO     [121, 1, 1.2111220359802246]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [122, 1, 1.7270088195800781]
2025-02-26 22:15:29 INFO     [122, 1, 3.170764923095703]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [123, 1, 2.828897714614868]
2025-02-26 22:15:29 INFO     [123, 1, 4.635530471801758]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [124, 1, 4.769528388977051]
2025-02-26 22:15:29 INFO     [124, 1, 2.8207812309265137]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:29 INFO     [125, 1, 1.8115397691726685]
2025-02-26 22:15:29 INFO     [125, 1, 1.4390060901641846]
2025-02-26 22:15:29 INFO     Update learning rate: 0.006302494097246091
2025-02-26 22:15:30 INFO     [126, 1, 0.9548068046569824]
2025-02-26 22:15:30 INFO     [126, 1, 1.0347180366516113]
2025-02-26 22:15:30 INFO     Update learning rate: 0.005987369392383786
2025-02-26 22:15:30 INFO     [127, 1, 1.4851880073547363]
2025-02-26 22:15:30 INFO     [127, 1, 1.3200464248657227]
2025-02-26 22:15:30 INFO     Update learning rate: 0.005987369392383786
2025-02-26 22:15:30 INFO     [128, 1, 0.26920783519744873]
2025-02-26 22:15:30 INFO     [128, 1, 0.3582654595375061]
2025-02-26 22:15:30 INFO     Update learning rate: 0.005987369392383786
2025-02-26 22:15:30 INFO     [129, 1, 0.22319138050079346]
2025-02-26 22:15:30 INFO     [129, 1, 0.4295004606246948]
2025-02-26 22:15:30 INFO     Update learning rate: 0.005987369392383786
2025-02-26 22:15:30 INFO     [130, 1, 0.6737148761749268]
2025-02-26 22:15:30 INFO     [130, 1, 0.348436176776886]
2025-02-26 22:15:30 INFO     Update learning rate: 0.005987369392383786
